Substrate,ECNumber,Organism_ID_sabio,kcat
(+)-anti-BPDE,2.5.1.18,9606,0.05
(-)-Camphor,1.14.14.1,9606,0.08166667
(-)-Jasmonic acid,2.1.1.141,3702,70.0
(-)-Jasmonic acid,6.3.2.52,3702,0.07333333
(-)-Ureidoglycolate,3.5.1.116,39947,55.0
(-)-anti-BPDE,2.5.1.18,9606,0.021
(1R)-(-)-Camphorquinone,1.1.1.209,10090,1.1
(1R)-(-)-Camphorquinone,1.1.1.51,10116,1.3
(1R)-(-)-Camphorquinone,1.1.1.62,10116,1.646667
"(1R,4S)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,4.9
"(1R,4S)-Menthone",1.14.13.105,1833,3.6
(1S)-(+)-Camphorquinone,1.1.1.209,10090,1.15
(1S)-(+)-Camphorquinone,1.1.1.51,10116,1.883333
(1S)-(+)-Camphorquinone,1.1.1.62,10116,0.2
"(1S,4R)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,3.9
(24S)-Hydroxycholesterol 24-sulfate,2.8.2.2,9606,40.16667
(24S)-Hydroxycholesterol 3-sulfate,2.8.2.2,9606,1.883333
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,303,150.0
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,395495,2.0
"(2E,5Z)-Octadienoyl-CoA",5.3.3.8,10116,45.0
"(2E,5Z)-Tetradecadienoyl-CoA",5.3.3.8,10116,15.0
(2RS)-4-Arsono-2-hydroxybutanoate,2.7.2.3,559292,0.12
(3-Indolyl)-glycerol phosphate,4.1.2.8,4577,2.8
(3-Indolyl)-glycerol phosphate,4.2.1.20,83333,6.64
(3-Indolyl)-glycerol phosphate,4.2.1.20,243274,5.6
"(3R,4R)-7,2'-Dihydroxy-4'-methoxyisoflavanol",4.2.1.139,46348,590.0
(4R)-Dihydrocarvone,1.14.13.105,1833,3.9
"(6E,10E)-Geranyllinalool",1.14.14.58,3702,0.11
"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate",1.13.11.45,36779,9.1
(Alginate)n,4.2.2.26,522373,34.8
(E)-2-Methylgeranyl diphosphate,4.2.3.118,100226,0.039
"(R)-2,3-Dihydroxy-3-methylbutanoate",1.1.1.86,83333,0.51
(R)-2-Butanol,1.1.1.1,9544,1.9
(R)-2-Hydroxyglutarate,1.1.1.399,83333,0.71
(R)-2-Hydroxyglutarate,1.1.1.42,83333,0.000724
(R)-2-Hydroxyisocaproyl-CoA,4.2.1.157,1496,160.0
(R)-2-Oxo-3-methylpentanoate,1.4.1.20,1421,7.2
(R)-3-Hydroxybutanoate,1.1.1.30,9606,0.01583333
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,9606,2.9
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,83333,0.8333333
(R)-5-Diphosphomevalonate,4.1.1.33,559292,4.9
(R)-Amygdalin,3.2.1.21,39947,0.44
(R)-Indan-1-ol,1.1.1.213,9606,0.005
(R)-Indan-1-ol,1.1.1.50,9606,0.2666667
(R)-Indan-1-ol,1.1.1.209,10090,0.45
(R)-Lipoic acid,1.8.1.4,9606,9.7
(R)-Pantothenate,2.7.1.33,69014,0.21
(R)-Pantothenate,2.7.1.33,83332,0.411
(R)-Pantothenate,2.7.1.33,83333,1.14
(R)-Pantothenate,2.7.1.33,85962,2.09
(R)-Pantothenate,2.7.1.33,93061,329.0
(R)-Pantothenate,2.7.1.33,224308,2.12
(R)-Pantothenate,2.7.1.33,243274,0.29
(R)-Prunasin,3.2.1.21,39947,1.41
(R)-S-Lactoylglutathione,3.1.2.6,3702,3930.0
(R)-S-Lactoylglutathione,3.1.2.6,5833,119.5833
(R)-S-Lactoylglutathione,3.1.2.6,9606,780.0
(R)-S-Lactoylglutathione,3.1.2.6,10090,450.0
(R)-S-Lactoylglutathione,3.1.2.6,83333,53.0
"(R,R)-Butane-2,3-diol",1.1.1.4,559292,1300.0
"(R,S)-Norcoclaurine",2.1.1.128,3469,0.08
"(R,S)-Norreticuline",2.1.1.115,150095,0.05
"(R,S)-Stylopine",2.1.1.122,3467,0.5
"(R,S)-Stylopine",2.1.1.122,215227,0.001
(S)(+)-Allantoin,3.5.2.5,3702,879.0
(S)(+)-Allantoin,3.5.2.5,83333,470.0
(S)-1-Phenylethanol,1.1.1.14,9940,0.1
(S)-1-Phenylethanol,1.1.1.311,76114,2.0
(S)-2-Acetolactate,1.1.1.86,83333,21.0
(S)-2-Acetolactate,1.1.1.383,583356,3.3
(S)-2-Butanol,1.1.1.1,9544,1.4
(S)-2-Hydroxyglutarate,1.1.1.399,83333,0.25
(S)-2-Hydroxyglutarate,1.1.3.15,83333,0.08
(S)-2-Methylbutanol,1.1.1.1,9544,0.89
(S)-2-Methylbutanoyl-CoA,1.3.99.12,4113,1.77
(S)-3-Hydroxyisobutyryl-CoA,3.1.2.4,10116,266.0
(S)-Ethylmalonyl-CoA,4.1.1.94,10090,10.0
(S)-Indan-1-ol,1.1.1.112,9606,0.4166667
(S)-Indan-1-ol,1.1.1.213,9606,0.2666667
(S)-Indan-1-ol,1.1.1.50,9606,0.3166667
(S)-Indan-1-ol,1.3.1.20,9606,0.1833333
(S)-Indan-1-ol,1.1.1.51,10116,0.4166667
(S)-Indan-1-ol,1.1.1.62,10116,0.1133333
(S)-Lipoic acid,1.8.1.4,9606,7.1
(S)-Mandelate,1.1.99.31,303,360.0
(S)-Mandelate,1.1.3.15,9606,0.11
"1,1-Dimethoxydecane",1.2.99.7,879,1.22
"1,10-Diaminodecane",1.4.9.1,266,21.0
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.213,9606,0.3
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.50,9606,0.5833333
"1,2,3,4-Tetrahydronaphth-1-ol",1.3.1.20,9606,0.4333333
"1,2,3-Tribromopropane",3.8.1.5,1829,3.6
"1,2-Butanediol",1.1.1.4,559292,606.6667
"1,2-Dibromoethane",3.8.1.5,1829,14.3
"1,2-Dibromoethane",3.8.1.5,452662,29.33
"1,2-Dibromoethane",3.8.1.5,861109,29.33
"1,2-Dibromopropane",3.8.1.5,1829,2.3
"1,2-Dichloro-4-nitrobenzene",2.5.1.18,559292,1.1
"1,2-Dihydronaphthalene-1,2-diol",1.1.1.50,9606,0.09
"1,2-Diselenolane-3-pentanoic acid",1.8.1.4,9606,4.7
"1,2-Naphthoquinone",1.1.1.2,9606,14.68333
"1,2-Naphthoquinone",1.6.5.5,9606,0.2616667
"1,3-Diaminopropane",2.5.1.23,186497,0.06
"1,3-Dibromopropane",3.8.1.5,1829,2.7
"1,3-Dichloropropane",3.8.1.5,1829,1.3
"1,3-beta-D-Glucan",3.2.1.73,1390,300.7833
"1,3-beta-D-Glucan",3.2.1.73,1423,300.7833
"1,4-Dibromo-2,3-butanedione",1.1.1.10,6239,85.82
"1,4-Dibromo-2,3-butanedione",1.1.1.10,9606,0.48
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10036,15.0
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10090,42.0
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10116,25.0
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10141,13.0
"1,4-Dimethoxybenzene",1.11.1.16,5323,4.0
"1,4-Naphthoquinone",1.5.99.12,4577,169.6
"1,4-Naphthoquinone",1.8.1.9,10116,4.6
"1,4-Naphthoquinone",1.11.1.1,226185,3.4
"1,4-beta-D-Mannan",3.2.1.78,1423,11.13333
"1,5-Anhydro-D-fructose",1.1.1.263,10090,9.3
"1,5-Anhydro-D-fructose",1.1.1.292,106592,286.7
"1,5-Anhydro-D-glucitol",2.4.1.230,83333,1.05
"1,5-Bisdiphosphoinositol 2,3,4,6-tetrakisphosphate",3.6.1.52,559292,0.63
"1,6-Anhydro-N-acetyl-beta-muramate",2.7.1.170,83333,116.6667
"1,6-Diaminohexane",1.4.9.1,266,17.0
"1,6-Hexanediol",1.1.1.1,9606,2.566667
"1,7-Diaminoheptane",1.4.9.1,266,27.0
"1,8-Diaminonaphthalene",1.10.3.2,525904,0.295
"1,8-Diaminooctane",1.4.9.1,266,11.0
"1,9-Diaminononane",1.4.9.1,266,17.0
1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine,3.1.4.4,1424779,70.6
1-(1Z-Octadecenyl)-sn-glycero-3-phosphoethanolamine,3.1.4.4,1424779,4.51
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,83332,0.16
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,83333,9.3
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,186497,8.4
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,208964,11.1
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,243274,0.11
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,273057,0.42
1-(4-Hydroxyphenyl)-2-aminoethanol,2.1.1.28,9606,0.02
1-(4-Hydroxyphenyl)-2-aminoethanol,1.1.1.14,9940,0.13
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,3.5.4.10,9606,8.6
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,5.4.99.18,83333,15.6
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide",1.10.5.1,9606,46.66667
1-Aminocyclopropane-1-carboxylate,3.5.99.7,303,2.433333
1-Aminocyclopropane-1-carboxylate,1.14.17.4,3435,0.09333333
1-Arachidonoyl-sn-glycerol 3-phosphate,3.1.3.76,9606,0.25
1-Bromopropane,3.8.1.5,1829,2.7
1-Butanol,1.1.9.1,303,71.8
1-Butanol,1.1.1.1,7225,4.3
1-Butanol,1.1.1.1,9544,2.2
1-Butanol,1.1.1.1,9606,5.833333
1-Butanol,1.1.1.1,9796,5.2
1-Butanol,1.1.1.1,10116,14.33333
1-Butanol,1.1.1.2,83333,0.004333333
1-Butanol,1.1.1.1,93934,7.216667
1-Butanol,1.1.1.1,191545,8.111667
1-Butanol,1.1.9.1,208964,25.6
1-Butanol,1.1.1.2,233413,4.6
1-Butanol,1.1.1.1,273057,1.966667
1-Carboxybiuret,3.5.1.131,47660,15.5
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,529,16.51
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,3702,0.98
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,7168,35.4
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,7227,360.0
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,9031,26.53
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,9606,96.0
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,10090,6.9
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,10116,1.166667
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,36329,0.105
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,559292,13.1
1-Chlorobutane,3.8.1.5,452662,1.11
1-Chlorobutane,3.8.1.5,861109,1.11
1-Chlorohexane,3.8.1.5,452662,2.6
1-Chlorohexane,3.8.1.5,861109,2.6
1-Chloropropane,3.8.1.5,1829,0.48
1-Decanol,1.1.1.1,9606,0.6666667
1-Deoxy-D-xylulose 5-phosphate,1.1.1.267,83333,9833.333
"1-Fluoro-2,4-dinitrobenzene",2.5.1.18,7168,85.1
1-Hexanol,2.4.1.85,4558,0.06
1-Hexanol,1.1.1.1,7225,4.0
1-Hexanol,1.1.1.1,9544,1.6
1-Hexanol,1.1.1.1,9606,5.166667
1-Hexanol,1.1.1.1,9796,3.8
1-Hexanol,1.1.1.1,10090,30.83333
1-Hexanol,1.1.1.2,83333,0.05
1-Indanole,1.3.1.20,9606,0.1633333
1-Kestose,3.2.1.26,3702,21.0
1-Methyl-D-tryptophan,1.13.11.52,9606,0.095
1-Myristoylglycerol 3-phosphate,3.1.3.76,9606,0.354
1-Naphthaldehyde,1.1.1.21,9606,2.6
